Country,Channel Name,Category,Main Video Category,username,followers,Main topic,More topics,Likes,Boost Index,Engagement Rate,Engagement Rate 60days,Views,Views Avg.,Avg. 1 Day,Avg. 3 Day,Avg. 7 Day,Avg. 14 Day,Avg. 30 day,Avg. 60 day,Comments Avg,Youtube Link
IN,Amit Bhadana,Unknown,Entertainment,Amit Bhadana,24000000,Entertainment,"Music,Movies,Entertainment",113983128.842105,60,1.015853086,0.055799815,2227021034,29834436,0,0,0,0,0,0,100248.5,UC_vcKmg67vjMP7ciLnSxSHQ
BR,Galinha Pintadinha,Music,Film & Animation,Galinha Pintadinha,30500000,Movies,"Music,Movies,Entertainment",53343498,74,10.584083894,0.439409557,22540668765,423923499,,,,,13943787,12541612.5,0,UCBAb_DK4GYZqZR9MFA7y2Xg
Unknown,Selena Gomez,Unknown,Entertainment,Selena Gomez,30800000,Pop music,"Music,Pop music",57934128,31,0.445962257,0.011490062,11507336712,2733389.5,0,0,0,0,0,0,10296.384615385,UCPNxhDvTcytIdvwXWAm43cA
US,Luis Fonsi,Unknown,Entertainment,Luis Fonsi,30800000,Music of Latin America,"Music,Pop music,Music of Latin America",790615.850746269,81,0.011571346,0.000943567,14382216393,243522.25,,8822.5,12586.6,12586.6,15931.875,21974.625,387.089552239,UCxoq-PAQeAdk_zyg8YS0JqA
SO,Yuya,Gaming & Apps,Howto & Style,Yuya,24900000,Lifestyle,Lifestyle,58671863.25,81,0.059937834,0.003624796,2582756055,1613594,0,0,0,0,0,0,2948.1015625,UCBNs31xysxpAGMheg8OrngA
BR,Canal KondZilla,Music,Music,Canal KondZilla,65800000,Music,"Music,Hip hop music,Music of Latin America",116511691.050035,81,0.040829350,0.006405934,36444038220,730263.321428571,9811,15391.75,21584.571428571,43921.272727273,477777.346153846,369797.341463415,1165.754052149,UCffDXn7ycAzwL2LDlbyWOTw
US,[토이푸딩] ToyPudding TV,Gaming & Apps,Entertainment,[토이푸딩] ToyPudding TV,26600000,Lifestyle,"Hobby,Lifestyle,Food",4840587.74116306,75,0.021346264,0.000639172,15550107919,296887.535714286,,,,,15105.294117647,15105.294117647,28.452679590,UCKqx9r4mrFglauNBJc1L_eg
RU,Маша и Медведь,None,Film & Animation,Маша и Медведь,38300000,Movies,"Movies,Entertainment",23751378.7434555,77,0.144793117,0.054424461,32512871141,5530571.5,,1370135,1059747.66666667,1337818.57142857,1403322.13333333,2058851.96774194,0,UCRv76wLBC73jiP7LX4C3l8Q
US,Peppa Pig - Official Channel,Gaming & Apps,Film & Animation,Peppa Pig - Official Channel,27800000,Entertainment,"Entertainment,Movies",36324747.809901,64,0.199117963,0.054514668,20700474741,6448373.825,28727,177857.75,404734.375,736606.4,1054889,1497234.31147541,1.439603960,UCAOtE1V7Ots4DjM8JLlrYgg
IN,Zee Music Company,Music,Music,Zee Music Company,85500000,Pop music,"Music of Asia,Music,Pop music",210395355.255075,76,0.029939415,0.021687586,48162039794,1106508.69333333,18710,1631243.16666667,1367778.88,1800404.03773585,2142683.91666667,1819933.24705882,1771.244269810,UCFFbwnve3yF62-tVXkTyHqg
IN,Wave Music,Music,Music,Wave Music,52800000,Music,"Entertainment,Music,Music of Asia,Movies",135816576.587896,70,0.014120939,0.010160078,36796548363,381289.233333333,,200310.5,120323.6,386048.545454545,219288.78125,528557.078947368,624.737431956,UC22nIfOTM7KLIQuFGMKzQbg
CO,J Balvin,Unknown,Music,J Balvin,33500000,Music,"Music,Hip hop music,Electronic music,Music of Latin America,Pop music",3674660,80,0.051725797,0.001467036,21301599345,1208687.5,,19130,19130,19130,19130,19130,1529.961240310,UCt-k6JwNWHMXDBGm9IYHdsg
IN,Ishtar Music,Gaming & Apps,Music,Ishtar Music,37400000,Music of Asia,"Music,Music of Asia",18094603.9978678,62,0.018621281,0.000824640,14749662467,126009.354166667,6042,15686.5,24412.5,27083.857142857,25126.583333333,26636.226415094,235.461620469,UCWi_65E_L8tQZ34C6wVAlpQ
US,YouTube Spotlight,Gaming & Apps,Entertainment,YouTube Spotlight,33200000,Lifestyle,Lifestyle,11016951.8461538,83,0.086361569,0.037476204,2696443232,1004240,2548.714285714,2548.714285714,2548.714285714,2548.714285714,283943.133333333,1218246.75,4190.598662207,UCBR8-60-B28hp2BmDPdntcQ
CL,HolaSoyGerman.,Music,Entertainment,HolaSoyGerman.,43300000,Entertainment,"Entertainment,Movies",222616795.2,59,1.018686754,0.040896609,4725838896,56337958,0,0,0,0,0,0,133934.96,UCZJ7m7EnCNodqnu5SAtg8eQ
US,PewDiePie,Gaming & Apps,Gaming,PewDiePie,111000000,Lifestyle,"Gaming,Action game,Lifestyle,Action-adventure game",2191405541.99689,88,0.063426127,0.044846075,28424113942,7718344.84722222,,,3497395,3094440.4,3620273.5,4454119.625,35839.781347150,UC-lHJZR3Gqxm24_Vd_AJ5Yw
BR,Renato Garcia,Beauty & Fashion,Entertainment,Renato Garcia,25300000,Lifestyle,"Vehicles,Lifestyle,Technology",625651148.33089,70,0.054311676,0.050617605,6792113850,1630536.1875,422286.5,531773.333333333,736109.692307692,881420.615384615,1048555.88461538,1084563.16883117,7229.669109948,UChMJkHCD2wdvSO7CMOuLR-w
US,Trap Nation,Music,Music,Trap Nation,30400000,Hip hop music,"Music,Hip hop music,Pop music,Electronic music",29263861.957529,79,0.015192013,0.003494519,13296705190,491095.75,30542,39133.5,59634,73471.25,81224.882352941,93841.181818182,433.121739130,UCa10nxShhzNrCE1o2ZOPztg
US,TaylorSwiftVEVO,Music,Music,TaylorSwiftVEVO,25900000,Music,"Music,Independent music,Pop music,Country,Christian music",91978482.6930693,83,0.736505151,0.120277221,23100088153,9994058,652935,652935,652935,652935,652935,2710300.66666667,20032.138613861,UCANLZYMidaCbLQFWXBC95Jg
CA,Super Simple Songs - Kids Songs,Music,Education,Super Simple Songs - Kids Songs,34600000,Music,"Music,Movies,Entertainment",15938779.1262136,73,0.422444051,0.084071050,36596355848,17129182.5,,,573655,1047891.5,1401346,2873643.33333333,20.024271845,UCLsooMJoIpl_7ux2jvdPB-Q
IN,T-Series,Gaming & Apps,Music,T-Series,220000000,Music of Asia,"Entertainment,Music of Asia,Music,Movies",1602680172.34643,83,0.033463131,0.010879483,195660744416,2095329.13197279,152244.833333333,2134569.625,1809830.39534884,2306178.20547945,1676329.84137931,2295416.14469453,4493.984145764,UCq-Fj5jknLsUf-MWSy4_brA
IN,MR. INDIAN HACKER,Unknown,People & Blogs,MR. INDIAN HACKER,26300000,Vehicles,"Vehicles,Lifestyle",245168516.513274,37,0.137084329,0.293409761,4480530010,4168971.3,3472638,3472638,3472638,4345155,7215870.0625,7338307.58823529,15507.884955752,UCSiDGb0MnHFGjs4E2WKvShw
IN,Total Gaming,Unknown,Gaming,Total Gaming,32900000,Gaming,"Gaming,Action game,Role-playing video game",349783527.768739,61,0.059199973,0.052604785,5868383776,2548951.28181818,237626,556569,817822.2,998954.333333333,1170182.15789474,1538007.92682927,6038.726691042,UC5c9VlYTSvBSCaoMu_GI6gQ
US,James Charles,Gaming & Apps,Entertainment,James Charles,24000000,Lifestyle,Lifestyle,182740860,61,0.406231450,0.055493731,3664440993,12810318.5,,,687561,621661.666666667,619513.4,835437.666666667,38414.745173745,UCucot-Zp428OwkyRm2I7v2Q
IN,Infobells - Hindi,Gaming & Apps,Education,Infobells - Hindi,44700000,Music,"Music,Movies,Entertainment",24257065.2,62,0.303421290,0.040972656,25062652229,7839576,42190,42190,42190,640010.5,1909057.2,1743032.77777778,68.361702128,UC1ciY6kR3yj3kaKZ6R7ewAg
Unknown,SMTOWN,Music,Music,SMTOWN,30600000,Music,"Music,Music of Asia,Pop music",855552544.801289,77,0.143992020,0.137751749,24867458876,1241215.51666667,1277444,757232.5,506174,5938753.7,4983016.73684211,3911178.17142857,31226.806659506,UCEf_Bc-KVd7onSeifS3py9g
US,Wiz Khalifa,Gaming & Apps,Music,Wiz Khalifa,26300000,Hip hop music,"Music,Hip hop music",31480236.7261905,77,0.081768314,0.007113396,12431651158,2354512.25,,,,336259,336259,129990.95,1915.940476190,UCVp3nfGRxmMadNDuVbJSk8A
TH,one31,Gaming & Apps,Entertainment,one31,34100000,Movies,"Entertainment,TV shows,Music,Movies",79115974.3800455,71,0.002468718,0.000428355,26512197849,71972.606361756,11359.125,14075.061855670,13801.815920398,13801.815920398,13755.207920792,13935.965686275,47.344336515,UC8f7MkX4MFOOJ2SerXLInCA
US,Toys and Colors,Unknown,Entertainment,Toys and Colors,36300000,Lifestyle,"Hobby,Lifestyle,Entertainment",50988592.1203007,79,0.651806885,0.094288556,40261342099,27828993.05,,397653,337525.666666667,1325536.71428571,2690516.06666667,3359176.96666667,0,UCgFXm4TI8htWmCyJ6cVPG_A
CO,toycantando,Music,Music,toycantando,25600000,Music,"Music,Movies,Entertainment",8380779.475,68,0.223392413,0.013765637,13782126464,4544787,,,78342,136960,187541.75,333861.555555556,23.583333333,UC2xjgvWb9cx5F637XjsUNxw
US,ABCkidTV - Nursery Rhymes,Gaming & Apps,Education,ABCkidTV - Nursery Rhymes,138000000,Movies,"Entertainment,Music,Movies",220990134.604534,63,0.641715698,0.116003684,133025325473,70271260.25,1837916,1837916,4891832,7052576.5,12654329.6666667,15722844.7058824,146.700251889,UCbCmjCuTUZos6Inko4u57UQ
Unknown,Shakira,Unknown,People & Blogs,Shakira,36700000,Pop music,"Music,Pop music,Music of Latin America",16923109.4117647,82,0.120258364,0.046639950,23356797129,894883.5,,,316558,316558,293879.4,1644056.14285714,2526.352941176,UCYLNGLIzMhRTi6ZOLjAPSmw
US,Dream,Unknown,Action-adventure game,Dream,29500000,Action-adventure game,"Gaming,Action game,Role-playing video game,Action-adventure game",108019743.468208,74,0.795654740,0.035430222,2617970693,34656080.75,0,0,0,0,0,0,54184.722543353,UCTkXRDQl0luXxVQrRQvWS6w
Unknown,News,Unknown,Unknown,News,36100000,,,0,85,,0,0,,0,0,0,0,0,0,,UCYfdidRxbB8Qhf0Nx7ioOYw
NO,Alan Walker,Music,Music,Alan Walker,42000000,Music,"Music,Pop music,Electronic music",55641776.5384615,75,0.171522746,0.022760063,11617072443,4189688.75,,,,765318,582074.666666667,768548.444444444,8457.615384615,UCJrOtniJ0-NWz37R30urifQ
TH,WorkpointOfficial,None,Entertainment,WorkpointOfficial,36800000,Entertainment,"Entertainment,TV shows,Movies",80346776.6735011,76,0.003825047,0.002535184,33437272309,91303.166203704,22960.333333333,21708.27,56645.527363184,56771.346534653,77479.05625,91899.927350427,79.842624404,UC3ZkCd7XtUREnjjt3cyY_gg
Unknown,Adele,Gaming & Apps,Music,Adele,28600000,Rhythm and blues,"Music,Rhythm and blues,Pop music",1187550,21,0.041068292,0.003163665,12498528899,1149945,0,0,0,0,0,0,4074,UCsRM0YB_dabtEPGPTKo-gcw
Unknown,Michael Jackson,Gaming & Apps,Pop music,Michael Jackson,25500000,Pop music,"Music,Rock music,Pop music,Rhythm and blues",2235904,24,0.365323448,0.013596431,12397130801,10587707.25,0,0,0,0,0,0,27294.142857143,UC5OrDvL9DscpcAstz7JnQGA
US,BRIGHT SIDE,Science & Tech,Howto & Style,BRIGHT SIDE,43700000,Lifestyle,"Entertainment,Lifestyle,Movies",36932146.7762366,68,0.011437194,0.002251436,9969944772,395681.021245059,31853,50485.571428571,50726.315789474,53092.585365854,64779.455555556,89134.581920904,950.090028788,UC4rlAVgAK0SGk-yTfe48Qpw
IN,CarryMinati,Gaming & Apps,Comedy,CarryMinati,36000000,Music,"Music,Action game,Movies,Entertainment",649801095.387097,61,1.176523668,0.106946984,2925375307,45650538,0,0,0,0,0,0,199523.467741935,UCj22tfcQrWG7EMEKS0qLeEg
US,Vlad and Niki,Unknown,Entertainment,Vlad and Niki,83500000,Hobby,"Lifestyle,Hobby",146245435.405941,82,0.976381214,0.121066269,65143080313,108949716.5,,4354700,3010898,3141540.75,6909962.375,9793168.6,0,UCvlE5gTbOvjiolFlEm-c_Ow
US,Ryan's World,Gaming & Apps,Entertainment,Ryan's World,32700000,Lifestyle,"Lifestyle,Hobby",41421384.3045587,75,0.181956682,0.035723954,51413962658,6235625.80357143,100283,181348,279319.666666667,724642.285714286,949178.785714286,1149179.92857143,10.134820563,UChGJGhZ9SOOHvBB0Y4DOO_w
AR,La Granja de Zenón,Music,Music,La Granja de Zenón,31200000,Entertainment,"Music,Movies,Entertainment",8862147.77638191,65,0.139615164,0.034036302,22499719782,4673667.25,,60916,148163.5,439132.4,687614,1045667.71428571,4.085427136,UCwpcLKMwiuPg4aqImpGk6Ew
Unknown,EminemVEVO,Music,Music,EminemVEVO,25000000,Rock music,"Music,Rock music,Hip hop music,Pop music",80282189.68,82,2.196714771,0.989234581,18613137086,52594474,,,,23861501,23861501,23861501,41712.08,UC20vb-R_px4CguHzzBPhoyQ
US,JustinBieberVEVO,Music,Music,JustinBieberVEVO,31800000,Pop music,"Music,Hip hop music,Pop music",127777643.176471,42,1.079713776,0.037848613,25156934979,14094849.25,,,,,553413,553413,26867.329411765,UCHkj014U2CQ2Nv0UZeYpE_A
IN,Wow Kidz,Gaming & Apps,Film & Animation,Wow Kidz,27600000,Entertainment,"Humor,Movies,TV shows,Entertainment",13298666.4143426,60,0.023730423,0.043413843,14736833480,588863.755555556,,24245,527084.5,441048,718734.25,1177252,9.313413015,UCN8S4CqMRy6tVKVXvs7Bzeg
Unknown,Maroon 5,Unknown,Music,Maroon 5,35700000,Music,"Music,Pop music",3395907.07142857,43,0.018714796,0.000612447,20285080239,382719,0,0,0,0,0,0,1030.571428571,UCBVjMGOIkavEAhyqpxJ73Dw
Unknown,1theK (원더케이),Music,Music,1theK (원더케이),24100000,Pop music,"Music of Asia,Music,Pop music",210214306.479112,74,0.014768137,0.004137084,22431615067,59493.506172840,69963,42618.428571429,150890,114119.34,136140.324074074,86317.104477612,810.979818365,UCweOkPb1wVVH0Q0Tlj4a5Pw
US,Nick Jr.,None,Film & Animation,Nick Jr.,24900000,Movies,"Movies,TV shows,Entertainment",9113271.34842145,58,0.026547727,0.020671402,20429943688,541040.156746032,45840.333333333,76337.222222222,114274.210526316,146453.179487179,386031.12195122,512730.764705882,16.703689616,UCUe6ZpY6TJ0no8jI4l2iLxw
US,The Tonight Show Starring Jimmy Fallon,Gaming & Apps,Comedy,The Tonight Show Starring Jimmy Fallon,29700000,TV shows,"Movies,TV shows,Entertainment",135086098.245525,79,0.017824512,0.015266559,15881598339,398666.117816092,46448,154070,232904.857142857,354807.306666667,375184.962732919,435287.587412587,843.722335232,UC8-Th83bH_thdKZDJCrn88g
MX,Luisito Comunica,Beauty & Fashion,Comedy,Luisito Comunica,39000000,Lifestyle,Lifestyle,247337977.205589,75,0.128590659,0.079792467,7572635123,6223747,,1829680,3185332,3363754.2,2632093,2867778.88,17264.924151697,UCECJDeK0MNapZbpaOzxrUPA
US,KatyPerryVEVO,Gaming & Apps,Music,KatyPerryVEVO,24800000,Pop music,"Music,Pop music",69822504.3068182,83,1.457308094,0.017384701,22561778561,28462813,0,0,0,0,0,0,22821.852272727,UC-8Q-hLdECwQmaWNwXitYDw
US,ImagineDragons,Unknown,Music,ImagineDragons,28300000,Pop music,"Independent music,Music,Rock music,Pop music",2304173.25,38,0.466151327,0.005849659,14094435442,1194245,,,102406.5,125597,127762,127762,1209.178571429,UCT9zcQNlyht7fRlcjmflRSA
US,RihannaVEVO,Gaming & Apps,Music,RihannaVEVO,25200000,Rhythm and blues,"Pop music,Rhythm and blues,Hip hop music,Music,Electronic music",102787670,41,6.431747196,0.040162226,17967902245,88722202,0,0,0,0,0,0,42393.1,UC2xskkQVFEpLcGFnNSLQY0A
Unknown,SonyMusicIndiaVEVO,Music,Music,SonyMusicIndiaVEVO,42300000,Music of Asia,"Music,Movies,Music of Asia,Pop music",117320899.876791,70,0.098932922,0.003560179,23588674274,926225,,,37575.5,25537.076923077,41691.6,111150.84375,613.191977077,UC3MLnJtqc_phABBriLRhtgQ
US,xxxtentacion,Unknown,Music,xxxtentacion,37400000,Hip hop music,"Music,Hip hop music,Pop music,Electronic music",33550305.3975904,65,0.164899632,0.038311146,9632080442,6642087.75,,,,,480777.888888889,1147972.66666667,18591.939759036,UCM9r1xn6s30OnlJWb-jc3Sw
ID,Ricis Official,Gaming & Apps,People & Blogs,Ricis Official,30200000,Lifestyle,"Music,Lifestyle",204185092.997595,61,0.058886014,0.033835009,5032113188,2081384.7968254,154633,395246,375124.714285714,565469,705652.757575758,907491.690140845,9346.104028863,UC4tS4Q_Cno5JVcIUXxQOOpA
AU,Bounce Patrol - Kids Songs,Music,Music,Bounce Patrol - Kids Songs,26200000,Music,Music,29776135.4444444,60,3.123583404,0.026447860,18680919326,74292444.75,,,117571,117571,117571,545527.333333333,0,UC56cowXhoqRWHeqfSJkIQaA
RU,Get Movies,Gaming & Apps,Shows,Get Movies,40500000,Entertainment,"Entertainment,TV shows,Movies",16319224.4044321,78,0.022610046,0.008244797,28323109702,970253.433333333,39008.5,365321.416666667,346456.05,229318.945945946,190846.983050847,329734.111111111,6.457063712,UClZkHt2kNIgyrTTPnSQV3SA
Unknown,قناة طيور الجنة | toyoraljanahtv,Music,Music,قناة طيور الجنة | toyoraljanahtv,27800000,Music,Music,0,70,0.041841294,0.007051781,25529299065,681340.333333333,2176,118466.333333333,114275,103764.272727273,147753.894736842,193923.972972973,0,UCozAuGJZ5MPoijz8IE_1Gtw
Unknown,enchufetv,None,Comedy,enchufetv,26100000,Movies,"Movies,Entertainment",71000735.2171254,79,0.057386354,0.057859034,9948293859,2002338,,185856,448684,579724,749942.416666667,1435482.92,1965.662079511,UCoGDh1Xa3kUCpok24JN5DKA
US,✿ Kids Diana Show,Gaming & Apps,Entertainment,✿ Kids Diana Show,97200000,Lifestyle,"Lifestyle,Hobby",235190437.514232,67,0.690341775,0.243853120,77340155581,86417353.25,,,7539489.5,9148087.75,14347388.625,23467097.4444444,0,UCk8GzjMOrta8yxDcKfylJYw
Unknown,WWE,Sports,Sports,WWE,89400000,Lifestyle,"Entertainment,Lifestyle,Professional wrestling,Sports,Performing arts",543800874.287162,80,0.004329158,0.003562268,69794363750,392017.697341139,98427.9375,168984.348314607,254107.748691099,260165.985754986,265323.917159763,309149.25786802,589.765972603,UCJ5v_MCY6GNUBTO8-D3XoAg
"ES
",VEGETTA777,Gaming & Apps,Gaming,VEGETTA777,33100000,Action game,"Gaming,Action game,Role-playing video game,Action-adventure game,Puzzle video game,Strategy video game",772750483.937814,81,0.034666619,0.015639595,14827595754,1431294.0297619,370641,731807.333333333,921913.5,616709.4375,456802.727272727,406745.089552239,1995.358481939,UCam8T03EOFBsNdR0thrFHdQ
IN,ashish chanchlani vines,Gaming & Apps,Comedy,ashish chanchlani vines,28400000,Entertainment,"Movies,Entertainment",384468858.666667,61,1.656636785,0.095398034,4009564528,63081958.25,0,0,0,0,0,0,93869.746031746,UC7eHZXheF8nVOfwB2PEslMw
IN,IndiaTV,None,News & Politics,IndiaTV,31300000,Society,Society,117119044.807528,64,0.001283950,0.001847686,12862571203,19848.899894902,26043.565656566,28263.980099502,28229.901477833,27879.468599034,31288.762711864,57265.139364303,64.482667145,UCttspZesZIDEwwpVIgoZtWQ
IE,jacksepticeye,Gaming & Apps,Gaming,jacksepticeye,28500000,Gaming,"Gaming,Action game,Role-playing video game,Action-adventure game",641050483.441748,80,0.083391525,0.088538106,15393434205,2911652.64583333,,1084736,1569091.75,1630400.85714286,2131002.95,2383171.70731707,11206.263106796,UCYzPXprvl5Y-Sf0g4vX-m6g
Unknown,Jingle Toons,Music,Film & Animation,Jingle Toons,28100000,Movies,"Music,Movies,Music of Asia,Entertainment",17932525.0606061,61,0.522972361,0.006828294,9584699468,2320367,,,,,148557,112869.5,14.757575758,UCK9F8nycURBsR0YlrBsu1Ag
IN,Bollywood Classics,Music,Music,Bollywood Classics,30200000,Music,"Music,Music of Asia,Pop music",16021508.4864865,57,0.095138436,0.006336642,18875735928,471105.5,,,26000.5,365526.2,190716.727272727,181174.555555556,235.993993994,UCRm96I5kmb_iGFofE5N691w
